Group,Description,M,K,N,Cycles,DRAM_Read_Bytes,DRAM_Write_Bytes,MAC_Utilization_Percent,Memory_Stall_Cycles
1_N_Split_GEMV,N_Split_64,1,4096,64,33411.0,1064960.0,256.0,22.58,7415.0
1_N_Split_GEMV,N_Split_128,1,4096,128,67537.0,2113536.0,512.0,9.68,7355.0
1_N_Split_GEMV,N_Split_256,1,4096,256,135695.0,4210688.0,1024.0,9.68,7229.0
1_N_Split_GEMV,N_Split_512,1,4096,512,272174.0,8404992.0,2048.0,9.68,6974.0
1_N_Split_GEMV,N_Split_1024,1,4096,1024,543972.0,16809984.0,4096.0,9.68,6974.0
1_N_Split_GEMV,N_Split_2048,1,4096,2048,1087636.0,33619968.0,8192.0,9.68,6974.0
1_N_Split_GEMV,N_Split_4096,1,4096,4096,2174934.0,67239936.0,16384.0,9.68,6974.0
1_N_Split_GEMV,N_Split_8192,1,4096,8192,4349555.0,134479872.0,32768.0,9.68,6974.0
2_K_Split_GEMV,K_Split_64,1,64,4096,16812.0,1050624.0,16384.0,47.01,6704.0
2_K_Split_GEMV,K_Split_128,1,128,4096,32930.0,2101248.0,16384.0,22.58,6457.0
2_K_Split_GEMV,K_Split_256,1,256,4096,69835.0,4202496.0,16384.0,21.27,6461.0
2_K_Split_GEMV,K_Split_512,1,512,4096,218311.0,8404992.0,16384.0,12.9,6461.0
2_K_Split_GEMV,K_Split_1024,1,1024,4096,442570.0,16809984.0,16384.0,12.9,6461.0
2_K_Split_GEMV,K_Split_2048,1,2048,4096,958262.0,33619968.0,16384.0,12.85,6974.0
2_K_Split_GEMV,K_Split_4096,1,4096,4096,2174934.0,67239936.0,16384.0,9.68,6974.0
2_K_Split_GEMV,K_Split_8192,1,8192,4096,7807461.0,134479872.0,16384.0,3.67,6974.0
3_M_Split_GEMM,M_Split_1,1,4096,4096,2174934.0,67239936.0,16384.0,9.68,6974.0
3_M_Split_GEMM,M_Split_2,2,4096,4096,2177957.0,67371008.0,32768.0,9.68,6972.0
3_M_Split_GEMM,M_Split_4,4,4096,4096,2182887.0,67633152.0,65536.0,9.68,6968.0
3_M_Split_GEMM,M_Split_8,8,4096,4096,2196524.0,68157440.0,131072.0,9.82,6960.0
3_M_Split_GEMM,M_Split_16,16,4096,4096,2228173.0,69206016.0,262144.0,10.12,6944.0
3_M_Split_GEMM,M_Split_32,32,4096,4096,2306754.0,71303168.0,524288.0,10.73,6912.0
3_M_Split_GEMM,M_Split_64,64,4096,4096,2463918.0,75497472.0,1048576.0,11.31,6848.0
3_M_Split_GEMM,M_Split_128,128,4096,4096,2778246.0,83886080.0,2097152.0,9.55,6720.0
3_M_Split_GEMM,M_Split_256,256,4096,4096,3406909.0,100663296.0,4194304.0,9.55,6464.0
3_M_Split_GEMM,M_Split_512,512,4096,4096,4664214.0,134217728.0,8388608.0,9.55,5952.0
3_M_Split_GEMM,M_Split_1024,1024,4096,4096,9328935.0,268435456.0,16777216.0,9.55,5952.0
3_M_Split_GEMM,M_Split_2048,2048,4096,4096,18658968.0,536870912.0,33554432.0,9.55,5952.0
3_M_Split_GEMM,M_Split_4096,4096,4096,4096,37318908.0,1073741824.0,67108864.0,9.55,5952.0
4_Micro_Kernels,Micro_1x64x64,1,64,64,810.0,16640.0,256.0,31.85,776.0
4_Micro_Kernels,Micro_1x64x128,1,64,128,1061.0,33024.0,512.0,24.32,995.0
4_Micro_Kernels,Micro_1x128x64,1,128,64,1061.0,33280.0,256.0,24.32,995.0
4_Micro_Kernels,Micro_1x128x128,1,128,128,1574.0,66048.0,512.0,16.39,1444.0
4_Micro_Kernels,Micro_64x64x64,64,64,64,1392.0,32768.0,16384.0,22.84,1296.0
4_Micro_Kernels,Micro_64x64x128,64,64,128,1876.0,49152.0,32768.0,16.95,1716.0
4_Micro_Kernels,Micro_64x128x64,64,128,64,1875.0,65536.0,16384.0,16.96,1715.0
4_Micro_Kernels,Micro_64x128x128,64,128,128,2637.0,98304.0,32768.0,12.06,2381.0
5_Asymmetric_GEMV,Asym_K64_N1024,1,64,1024,4287.0,262656.0,4096.0,46.65,3766.0
5_Asymmetric_GEMV,Asym_K64_N2048,1,64,2048,8572.0,525312.0,8192.0,47.01,6961.0
5_Asymmetric_GEMV,Asym_K64_N4096,1,64,4096,16812.0,1050624.0,16384.0,47.01,6704.0
5_Asymmetric_GEMV,Asym_K64_N8192,1,64,8192,33140.0,2101248.0,32768.0,47.01,6704.0
5_Asymmetric_GEMV,Asym_K128_N1024,1,128,1024,8572.0,525312.0,4096.0,22.58,6970.0
5_Asymmetric_GEMV,Asym_K128_N2048,1,128,2048,16664.0,1050624.0,8192.0,22.58,6457.0
5_Asymmetric_GEMV,Asym_K128_N4096,1,128,4096,32930.0,2101248.0,16384.0,22.58,6457.0
5_Asymmetric_GEMV,Asym_K128_N8192,1,128,8192,65577.0,4202496.0,32768.0,22.58,6457.0
5_Asymmetric_GEMV,Asym_K256_N1024,1,256,1024,17807.0,1050624.0,4096.0,21.27,6461.0
5_Asymmetric_GEMV,Asym_K256_N2048,1,256,2048,35130.0,2101248.0,8192.0,21.27,6461.0
5_Asymmetric_GEMV,Asym_K256_N4096,1,256,4096,69835.0,4202496.0,16384.0,21.27,6461.0
5_Asymmetric_GEMV,Asym_K256_N8192,1,256,8192,139354.0,8404992.0,32768.0,21.27,6461.0
6_Large_M_Prefill_Scenarios,Prefill_Like_512x2048x2048,512,2048,2048,1070268.0,33554432.0,4194304.0,14.32,5952.0
6_Large_M_Prefill_Scenarios,Prefill_Like_512x4096x4096,512,4096,4096,4664214.0,134217728.0,8388608.0,9.55,5952.0
6_Large_M_Prefill_Scenarios,Prefill_Like_1024x2048x2048,1024,2048,2048,2150644.0,67108864.0,8388608.0,14.32,5952.0
6_Large_M_Prefill_Scenarios,Prefill_Like_1024x4096x2048,1024,4096,2048,4572978.0,134217728.0,8388608.0,9.55,5952.0
6_Large_M_Prefill_Scenarios,Prefill_Like_1024x4096x4096,1024,4096,4096,9328935.0,268435456.0,16777216.0,9.55,5952.0
6_Large_M_Prefill_Scenarios,Prefill_Like_2048x4096x4096,2048,4096,4096,18658968.0,536870912.0,33554432.0,9.55,5952.0
6_Large_M_Prefill_Scenarios,Prefill_Like_4096x4096x2048,4096,4096,2048,18290833.0,536870912.0,33554432.0,9.55,5952.0
6_Large_M_Prefill_Scenarios,Prefill_Like_4096x4096x4096,4096,4096,4096,37318908.0,1073741824.0,67108864.0,9.55,5952.0
6_Large_M_Prefill_Scenarios,Prefill_Like_8192x4096x4096,8192,4096,4096,74638914.0,2147483648.0,134217728.0,9.55,5952.0
6_Large_M_Prefill_Scenarios,Prefill_Like_16384x4096x4096,16384,4096,4096,149278926.0,4294967296.0,268435456.0,9.55,5952.0
